DateCollected,Sample,SampleVolume,DateMeasured,DilutionFactor,RawChla_mgL,TotChla_mgL
5/4/2018,1,128.25,5/8/2018,16,293,4688
5/4/2018,2,122.88,5/8/2018,16,348,5568
5/4/2018,3,131.83,5/8/2018,16,251,4016
5/4/2018,4,120.56,5/8/2018,16,133,2128
5/4/2018,5,115.29,5/8/2018,16,65.9,1054.4
5/4/2018,6,123.73,5/8/2018,16,191,3056
5/4/2018,7,111.59,5/8/2018,16,70.8,1132.8
5/4/2018,8,119.65,5/8/2018,16,244,3904
5/4/2018,9,124.59,5/8/2018,30,53.2,1596
5/4/2018,10,127.24,5/8/2018,30,116,3480
5/4/2018,11,125.51,5/8/2018,16,74.8,1196.8
5/4/2018,12,132.31,5/8/2018,16,140,2240
5/4/2018,13,128.89,5/8/2018,16,124,1984
5/4/2018,14,130.55,5/8/2018,16,128,2048
5/4/2018,15,131.93,5/8/2018,16,144,2304
5/4/2018,16,120.56,5/8/2018,16,95.6,1529.6
5/4/2018,17,127.44,5/8/2018,16,74.3,1188.8
5/4/2018,18,133.97,5/8/2018,16,125,2000
